CMDLINE /Library/Frameworks/Python.framework/Versions/3.11/bin/python3.11 server.py
MEM 32.691406 1692430269.6996
MEM 32.691406 1692430269.8050
MEM 32.691406 1692430269.9076
MEM 32.691406 1692430270.0097
MEM 32.691406 1692430270.1100
MEM 32.691406 1692430270.2153
MEM 32.691406 1692430270.3190
MEM 32.691406 1692430270.4209
MEM 32.691406 1692430270.5250
MEM 32.691406 1692430270.6287
MEM 32.691406 1692430270.7339
MEM 32.691406 1692430270.8363
MEM 32.691406 1692430270.9407
MEM 32.691406 1692430271.0436
MEM 32.691406 1692430271.1490
MEM 32.691406 1692430271.2511
MEM 32.691406 1692430271.3565
MEM 32.691406 1692430271.4586
MEM 32.691406 1692430271.5627
MEM 32.691406 1692430271.6638
MEM 32.691406 1692430271.7660
MEM 32.691406 1692430271.8714
MEM 32.691406 1692430271.9725
MEM 32.691406 1692430272.0731
MEM 32.691406 1692430272.1770
MEM 32.691406 1692430272.2811
MEM 32.691406 1692430272.3851
MEM 32.691406 1692430272.4893
MEM 32.691406 1692430272.5933
MEM 32.691406 1692430272.6942
MEM 32.691406 1692430272.7948
MEM 32.691406 1692430272.8954
MEM 32.691406 1692430272.9986
MEM 32.691406 1692430273.1018
MEM 32.691406 1692430273.2052
MEM 32.691406 1692430273.3077
MEM 32.691406 1692430273.4114
MEM 32.691406 1692430273.5138
MEM 32.691406 1692430273.6174
MEM 32.691406 1692430273.7213
MEM 32.691406 1692430273.8254
MEM 32.691406 1692430273.9270
MEM 32.691406 1692430274.0324
MEM 32.691406 1692430274.1370
MEM 32.691406 1692430274.2387
MEM 32.691406 1692430274.3438
MEM 32.691406 1692430274.4483
MEM 32.691406 1692430274.5526
MEM 32.691406 1692430274.6566
MEM 32.691406 1692430274.7609
MEM 32.691406 1692430274.8653
MEM 32.691406 1692430274.9697
MEM 32.691406 1692430275.0715
MEM 32.691406 1692430275.1769
MEM 32.691406 1692430275.2823
MEM 32.691406 1692430275.3833
MEM 32.691406 1692430275.4859
MEM 32.691406 1692430275.5914
MEM 32.691406 1692430275.6964
MEM 32.691406 1692430275.7967
MEM 32.691406 1692430275.8975
MEM 32.691406 1692430276.0022
MEM 32.691406 1692430276.1027
MEM 32.691406 1692430276.2060
MEM 32.691406 1692430276.3107
MEM 32.691406 1692430276.4146
MEM 32.691406 1692430276.5185
MEM 32.691406 1692430276.6194
MEM 32.691406 1692430276.7200
MEM 32.691406 1692430276.8239
MEM 32.691406 1692430276.9274
MEM 32.691406 1692430277.0308
MEM 32.691406 1692430277.1362
MEM 32.691406 1692430277.2392
MEM 32.691406 1692430277.3423
MEM 32.691406 1692430277.4477
MEM 32.691406 1692430277.5525
MEM 32.691406 1692430277.6572
MEM 32.691406 1692430277.7625
MEM 32.691406 1692430277.8641
MEM 32.691406 1692430277.9648
MEM 32.691406 1692430278.0653
MEM 32.691406 1692430278.1664
